matrix,air,air,air,ocean,ocean,ocean,water,water,water
scenario,BG,LB,UB,BG,LB,UB,BG,LB,UB
species,,,,,,,,,
Adona,1049.9945,1049.9945,1049.9945,14.0801689453125,14.0801689453125,14.0801689453125,1049.9945,1049.9945,1049.9945
FOSA,16172.626,2458.2405,27170.008,1230.68525,187.063234375,2067.49675,16172.626,2458.2405,27170.008
FTOH102,14709.488,1406.994875,21424.704,4476.1795,428.1633125,6519.732,14709.488,1406.994875,21424.704
FTOH42,2388.332,1278.91375,2943.04175,739.350125,395.9075625,911.0713125,2388.332,1278.91375,2943.04175
FTOH62,34085.268,2389.05725,47294.44,1129.09875,67.5273671875,1406.419875,34085.268,7666.2345,47294.736
FTOH82,37093.48,3261.67075,54041.38,11287.924,992.5566875,16445.092,37093.48,3261.67075,54041.38
HFPODA,462.92396875,22.581669921875,651.6423125,13.9993291015625,0.6828959350585937,19.706595703125,462.92396875,22.581669921875,651.6423125
PFBA,1527.84525,34.8504453125,2167.70125,422.29334375,9.632615234375,599.1476875,1527.84525,34.8504453125,2167.70125
PFBS,842.6575625,398.73396875,1036.708,306.30028125,144.936765625,376.84146875,842.6575625,398.73396875,1036.708
PFDA,477.31034375,23.2834375,671.8933125,138.239703125,6.743490234375,194.596484375,477.31034375,23.2834375,671.8933125
PFDS,426.34290625,98.1881328125,976.7133125,161.951390625,37.2981015625,371.016125,426.34290625,98.1881328125,976.7133125
PFDoA,234.503109375,55.83408984375,335.004375,40.4012578125,9.6193212890625,57.71641015625,234.503109375,55.83408984375,335.004375
PFHpA,5456.147,152.0784375,7729.314,1970.70125,54.9294765625,2791.73875,5456.147,152.0784375,7729.314
PFHxA,4063.27075,120.6152734375,5752.9815,1070.735375,31.783869140625,1515.99575,4063.27075,120.6152734375,5752.9815
PFHxS,2209.233,306.2399375,2614.9065,839.205,117.782765625,993.2954375,2209.233,310.06778125,2614.9065
PFNA,3087.94825,566.387125,4168.6135,1313.63175,240.94525,1773.332,3087.94825,566.387125,4168.6135
PFOA,3957.095191653518,1782.2371489846587,5311.502157157921,1820.6755,611.49925,2486.33525,3972.3463480081987,1711.8388953465426,5225.609427682896
PFOS,2310.88875,995.7604375,3213.18575,835.6239375,83.711671875,986.532375,1818.77425,704.8701875,2072.610375
PFPeA,2979.63475,80.6224375,4222.067,676.0695,18.2930390625,957.97425,2979.63475,80.6224375,4222.067
PFTeA,70.3508828125,55.83408984375,100.5012890625,12.120365234375,9.6193212890625,17.314828125,70.3508828125,55.83408984375,100.5012890625
PFTrA,4460.583,94.917953125,6331.584,768.5024375,16.352939453125,1090.83675,4460.583,94.917953125,6331.584
PFUnA,1996.890625,368.505,3595.714,453.0865625,63.488625,619.486125,1996.890625,368.505,3595.714
